epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.461,1.41148,2.26694,1.3186,0.7806,0.20144,0.21484,0.12796,1.28428,1.35745,1.20667,0.000158354,0.000158354,0.000158354
2,228.335,1.30334,1.31532,1.23196,0.64887,0.25355,0.26531,0.15407,1.25435,1.17945,1.16785,0.000306559,0.000306559,0.000306559
3,340.262,1.28752,1.21875,1.20893,0.67508,0.2719,0.28433,0.16372,1.25164,1.11413,1.16175,0.000444292,0.000444292,0.000444292
4,449.981,1.27663,1.16754,1.20059,0.67799,0.29752,0.31048,0.18248,1.20168,1.03039,1.13175,0.000428876,0.000428876,0.000428876
5,562.095,1.25465,1.11587,1.18707,0.61036,0.31634,0.33307,0.19296,1.19258,0.9824,1.1246,0.000413168,0.000413168,0.000413168
6,672.892,1.23824,1.0749,1.17528,0.54178,0.33693,0.34668,0.20485,1.16585,0.95821,1.10987,0.00039746,0.00039746,0.00039746
7,782.938,1.22457,1.04494,1.16932,0.54339,0.35321,0.35736,0.21062,1.17267,0.91662,1.11023,0.000381752,0.000381752,0.000381752
8,892.068,1.21051,1.01892,1.15779,0.5094,0.36201,0.36872,0.21655,1.15467,0.89896,1.09904,0.000366044,0.000366044,0.000366044
9,1002.11,1.20181,0.99761,1.15388,0.57094,0.36673,0.38339,0.22597,1.12612,0.85854,1.08885,0.000350336,0.000350336,0.000350336
10,1111.46,1.18672,0.97863,1.14911,0.52272,0.39042,0.39422,0.23409,1.1209,0.85233,1.087,0.000334628,0.000334628,0.000334628
11,1222.97,1.18237,0.96143,1.14356,0.54482,0.39082,0.39972,0.23737,1.11129,0.83758,1.0741,0.00031892,0.00031892,0.00031892
12,1330.82,1.17248,0.94368,1.13607,0.57512,0.39303,0.41411,0.24569,1.10268,0.81373,1.07034,0.000303212,0.000303212,0.000303212
13,1441.13,1.16215,0.93202,1.13123,0.56569,0.41129,0.42347,0.25604,1.0842,0.79767,1.06203,0.000287504,0.000287504,0.000287504
14,1548.72,1.16115,0.92566,1.13051,0.56106,0.4155,0.42788,0.25583,1.08669,0.79235,1.06182,0.000271796,0.000271796,0.000271796
15,1666.51,1.14957,0.90828,1.12386,0.58932,0.40928,0.42987,0.25972,1.07365,0.77775,1.05405,0.000256088,0.000256088,0.000256088
16,1785.5,1.13582,0.89731,1.1214,0.58869,0.41846,0.43838,0.26298,1.06654,0.7628,1.05277,0.00024038,0.00024038,0.00024038
17,1893.53,1.1337,0.88246,1.11553,0.56608,0.43667,0.44862,0.27163,1.06617,0.76163,1.05156,0.000224672,0.000224672,0.000224672
18,2001.05,1.12771,0.88003,1.11408,0.60517,0.4382,0.46032,0.27966,1.05167,0.74184,1.04171,0.000208964,0.000208964,0.000208964
19,2108.55,1.12385,0.87259,1.11259,0.61688,0.43839,0.46855,0.28529,1.04233,0.73233,1.03706,0.000193256,0.000193256,0.000193256
20,2215.16,1.11569,0.85867,1.1065,0.60819,0.43834,0.46137,0.28234,1.03563,0.73398,1.03415,0.000177548,0.000177548,0.000177548
21,2319.84,1.10578,0.8123,1.09339,0.59449,0.45676,0.46967,0.28555,1.0366,0.73171,1.03287,0.00016184,0.00016184,0.00016184
22,2423.37,1.09,0.78525,1.08353,0.63367,0.45067,0.47842,0.29243,1.02979,0.71823,1.02704,0.000146132,0.000146132,0.000146132
23,2526.92,1.07635,0.77084,1.07686,0.62319,0.46306,0.48352,0.30038,1.01774,0.70647,1.02228,0.000130424,0.000130424,0.000130424
24,2630.82,1.06762,0.75564,1.06838,0.64015,0.46749,0.4956,0.30749,1.00965,0.69137,1.01773,0.000114716,0.000114716,0.000114716
25,2734.48,1.06249,0.74607,1.06723,0.65758,0.46753,0.50088,0.30988,1.00372,0.68436,1.0132,9.9008e-05,9.9008e-05,9.9008e-05
26,2839.28,1.05402,0.73957,1.06298,0.68219,0.46711,0.50226,0.31305,0.99764,0.68113,1.01101,8.33e-05,8.33e-05,8.33e-05
27,2947.61,1.0471,0.72639,1.05935,0.66517,0.46953,0.50605,0.31582,0.99162,0.67118,1.00575,6.7592e-05,6.7592e-05,6.7592e-05
28,3051.57,1.0404,0.72059,1.05328,0.67528,0.47787,0.51201,0.32013,0.98674,0.66514,1.00234,5.1884e-05,5.1884e-05,5.1884e-05
29,3157.93,1.03395,0.71493,1.05174,0.67468,0.47857,0.51451,0.32258,0.98462,0.6614,1.00095,3.6176e-05,3.6176e-05,3.6176e-05
30,3263.42,1.02752,0.70553,1.04909,0.69331,0.47317,0.51598,0.32508,0.97932,0.65617,0.9985,2.0468e-05,2.0468e-05,2.0468e-05
